age,job_n,marital_n,education_n,default_n,housing_n,loan_n,duration,campaign,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m
49,3,0,3,0,0,0,95.0,1,1.4,94.465,-41.8,4.959
34,6,0,5,0,1,0,91.0,4,-0.1,93.2,-42.0,4.076
60,1,0,5,0,0,0,283.0,1,1.1,93.994,-36.4,4.856
24,2,1,1,0,1,1,493.0,1,1.4,93.918,-42.7,4.958
39,2,0,5,0,1,0,171.0,2,-0.1,93.2,-42.0,4.12
36,4,0,1,0,1,0,162.0,1,1.1,93.994,-36.4,4.857
57,4,0,4,0,0,0,68.0,2,1.4,93.918,-42.7,4.962
40,2,1,5,0,1,0,221.0,1,-1.8,93.075,-47.1,1.405
47,4,0,4,0,1,0,111.0,3,1.1,93.994,-36.4,4.855
47,3,2,3,0,0,0,295.0,1,-1.8,92.893,-46.2,1.344
33,3,0,0,0,0,1,496.0,2,-1.8,92.893,-46.2,1.281
40,3,0,0,0,0,1,181.0,2,1.4,94.465,-41.8,4.967
40,1,0,3,0,1,0,158.0,1,1.4,93.918,-42.7,4.958
30,9,0,5,0,0,0,223.0,1,-0.1,93.798,-40.4,5.045
39,3,0,3,0,0,0,249.0,4,1.1,93.994,-36.4,4.857
27,3,1,1,0,1,0,148.0,2,-2.9,92.963,-40.8,1.281
29,2,0,5,0,1,1,425.0,3,1.4,93.918,-42.7,4.962
45,2,0,1,0,0,0,48.0,5,1.4,94.465,-41.8,4.967
34,2,0,1,0,0,0,205.0,2,-1.8,92.893,-46.2,1.344
31,7,0,3,0,1,0,43.0,1,-1.8,92.893,-46.2,1.281
34,2,0,5,0,0,0,237.0,2,1.4,94.465,-41.8,4.961
32,4,0,4,0,0,0,322.0,2,-1.8,93.075,-47.1,1.405
40,3,0,5,0,0,0,22.0,6,1.4,94.465,-41.8,4.959
34,2,1,5,0,1,0,113.0,3,1.4,93.444,-36.1,4.964
34,2,0,1,0,1,0,188.0,2,1.1,93.994,-36.4,4.857
36,3,0,0,0,0,0,97.0,1,1.4,94.465,-41.8,4.961
59,3,0,0,0,1,1,69.0,6,1.4,94.465,-41.8,4.961
27,1,0,1,0,1,0,245.0,1,1.1,93.994,-36.4,4.857
40,6,0,5,0,0,0,367.0,2,-1.7,94.215,-40.3,0.896
41,4,2,5,0,0,0,187.0,1,-1.8,93.369,-34.8,0.635
35,3,0,3,0,0,0,414.0,2,-1.8,92.893,-46.2,1.313
53,4,0,4,0,0,0,103.0,1,-3.4,92.379,-29.8,0.77
30,3,0,3,0,1,0,99.0,1,-1.8,92.893,-46.2,1.281
37,2,1,5,0,0,0,283.0,3,-1.8,93.075,-47.1,1.423
42,6,2,5,0,1,0,266.0,2,-2.9,92.201,-31.4,0.879
26,3,0,3,0,1,0,207.0,1,1.4,93.918,-42.7,4.957
23,3,0,3,0,1,0,259.0,1,1.4,93.918,-42.7,4.962
48,0,0,4,0,0,0,388.0,3,-1.7,94.215,-40.3,0.896
74,5,0,4,0,1,0,204.0,3,-2.9,92.201,-31.4,0.873
56,4,0,4,0,1,0,124.0,3,1.1,93.994,-36.4,4.86
26,2,1,3,0,0,0,11.0,3,1.4,94.465,-41.8,4.959
51,4,0,2,0,1,0,166.0,2,1.4,93.918,-42.7,4.961
48,4,0,5,0,1,0,409.0,2,1.4,93.444,-36.1,4.968
35,4,0,4,0,0,0,192.0,1,1.4,93.444,-36.1,4.963
39,3,0,5,0,1,0,49.0,5,1.4,93.918,-42.7,4.961
44,7,0,3,0,1,0,189.0,1,1.4,93.918,-42.7,4.962
43,6,0,5,0,0,0,123.0,1,-2.9,92.201,-31.4,0.861
43,5,0,0,0,0,0,410.0,3,1.1,93.994,-36.4,4.857
37,3,0,4,0,0,0,128.0,2,1.1,93.994,-36.4,4.856
26,2,0,1,0,0,0,190.0,1,-1.8,93.075,-47.1,1.466
37,7,0,5,0,1,0,302.0,2,1.1,93.994,-36.4,4.857
49,2,1,5,0,0,0,132.0,1,-1.8,92.893,-46.2,1.266
30,3,0,3,0,1,0,12.0,6,1.4,94.465,-41.8,4.959
32,3,0,0,0,0,1,605.0,1,1.4,93.918,-42.7,4.961
39,3,1,5,0,1,0,173.0,6,-1.8,92.893,-46.2,1.281
31,4,0,5,0,0,0,60.0,1,1.4,93.444,-36.1,4.964
37,6,2,5,0,1,0,259.0,1,-0.1,93.2,-42.0,4.12
54,6,0,1,0,0,0,552.0,1,1.4,94.465,-41.8,4.967
35,3,0,4,0,0,0,241.0,1,1.1,93.994,-36.4,4.857
32,2,1,5,0,1,0,210.0,5,-2.9,92.469,-33.6,1.029
38,3,0,0,0,0,0,292.0,1,1.4,93.918,-42.7,4.955
42,1,0,5,0,1,0,122.0,1,-2.9,92.963,-40.8,1.099
38,2,0,5,0,0,0,517.0,1,-1.8,93.075,-47.1,1.405
47,3,0,4,0,1,1,330.0,4,1.4,93.918,-42.7,4.962
28,6,1,5,0,0,0,361.0,1,1.4,94.465,-41.8,4.864
60,0,0,0,0,1,1,149.0,1,-1.8,93.749,-34.6,0.635
45,3,0,3,0,0,0,644.5,3,1.4,94.465,-41.8,4.959
57,4,0,1,0,1,0,644.5,1,-1.8,92.893,-46.2,1.299
26,9,1,1,0,1,0,226.0,2,-1.8,92.893,-46.2,1.244
34,3,1,1,0,1,0,56.0,1,-1.8,92.893,-46.2,1.313
40,2,0,1,0,1,0,89.0,4,1.1,93.994,-36.4,4.855
45,3,0,2,0,1,0,561.0,2,1.4,93.444,-36.1,4.963
37,1,1,4,0,1,0,241.0,2,-1.8,92.893,-46.2,1.313
44,6,2,3,0,1,0,73.0,2,1.4,94.465,-41.8,4.96
28,2,0,1,0,1,0,185.0,3,1.4,94.465,-41.8,4.961
28,1,0,1,0,0,0,117.0,2,1.4,93.918,-42.7,4.963
19,10,1,5,0,1,0,438.0,1,-1.8,93.075,-47.1,1.405
50,6,0,3,0,0,0,115.0,1,-1.8,92.843,-50.0,1.548
44,2,1,5,0,0,0,49.0,1,1.1,93.994,-36.4,4.86
30,4,1,4,0,1,0,214.0,5,1.4,93.444,-36.1,4.964
31,10,1,5,0,0,0,224.0,1,-1.7,94.027,-38.3,0.899
29,4,1,4,0,1,0,226.0,2,-1.7,94.055,-39.8,0.704
30,4,1,5,0,1,0,63.0,3,-1.8,92.893,-46.2,1.327
27,4,0,4,0,0,0,347.0,2,-1.8,92.893,-46.2,1.327
33,1,0,1,0,1,1,172.0,1,1.4,93.918,-42.7,4.962
57,2,1,5,0,0,0,105.0,1,1.4,93.444,-36.1,4.968
40,3,2,3,0,0,0,74.0,1,-0.1,93.2,-42.0,4.021
24,9,1,1,0,1,0,113.0,1,1.4,94.465,-41.8,4.959
42,3,1,5,0,0,0,241.0,1,-1.8,93.075,-47.1,1.405
42,6,0,3,0,0,0,92.0,1,1.4,93.918,-42.7,4.968
27,2,1,1,0,0,0,185.0,1,1.4,93.918,-42.7,4.962
32,2,0,5,0,1,0,41.0,1,-0.1,93.2,-42.0,4.021
60,2,0,3,0,0,0,162.0,1,1.4,93.444,-36.1,4.962
39,4,0,5,0,1,0,88.0,6,1.4,93.444,-36.1,4.962
34,3,0,4,0,1,1,19.0,6,-1.8,92.893,-46.2,1.25
33,3,0,3,0,0,1,54.0,2,-1.8,92.893,-46.2,1.291
48,9,0,3,0,0,0,444.0,1,1.1,93.994,-36.4,4.856
35,8,1,5,0,0,0,609.0,1,1.4,93.918,-42.7,4.968
45,3,0,3,0,1,0,246.0,2,1.1,93.994,-36.4,4.856
33,2,0,5,0,1,0,644.5,3,-1.8,93.876,-40.0,0.699
41,6,0,5,0,1,0,644.5,3,1.4,93.918,-42.7,4.959
27,2,1,1,0,0,0,317.0,1,1.4,93.918,-42.7,4.962
31,2,0,5,0,1,0,7.0,6,-1.8,92.893,-46.2,1.334
36,7,0,5,0,1,0,138.0,2,-2.9,92.201,-31.4,0.873
41,0,0,1,0,1,0,644.5,1,-0.1,93.2,-42.0,4.021
49,3,0,0,0,0,0,151.0,1,1.4,94.465,-41.8,4.967
42,2,0,4,0,1,1,157.0,1,1.4,93.444,-36.1,4.964
36,2,1,5,0,1,0,107.0,1,-0.1,93.2,-42.0,4.076
39,4,0,4,0,0,0,20.0,6,-1.8,92.893,-46.2,1.327
33,2,1,4,0,0,0,122.0,1,1.4,94.465,-41.8,4.961
53,4,0,5,0,0,0,138.0,1,-0.1,93.2,-42.0,4.021
48,1,0,1,0,0,0,162.0,1,1.1,93.994,-36.4,4.856
33,3,0,3,0,1,1,31.0,4,-1.8,92.893,-46.2,1.291
44,3,2,0,0,0,0,34.0,2,1.4,94.465,-41.8,4.864
48,1,0,0,0,0,0,644.5,4,-1.8,92.893,-46.2,1.344
49,2,0,1,0,1,0,59.0,2,1.4,93.918,-42.7,4.963
36,4,1,4,0,1,0,238.0,1,1.1,93.994,-36.4,4.86
50,3,0,0,0,0,1,231.0,2,1.4,93.918,-42.7,4.961
35,9,0,5,0,1,0,272.0,4,-1.8,92.893,-46.2,1.281
33,7,1,5,0,0,0,187.0,2,-0.1,93.2,-42.0,4.076
31,4,0,5,0,0,0,168.0,1,1.4,93.444,-36.1,4.964
57,5,0,5,0,1,0,644.5,1,1.1,93.994,-36.4,4.856
43,3,0,1,0,1,0,107.0,2,-0.1,93.2,-42.0,4.191
37,4,1,5,0,1,0,481.0,2,-1.7,94.027,-38.3,0.899
33,2,1,5,0,1,0,366.0,3,1.4,93.918,-42.7,4.96
40,3,0,3,0,0,0,46.0,1,1.1,93.994,-36.4,4.857
55,9,2,3,0,1,0,622.0,1,-2.9,92.201,-31.4,0.825
35,2,0,3,0,0,1,556.0,4,1.4,94.465,-41.8,4.959
24,10,1,1,0,1,0,456.0,1,-2.9,92.201,-31.4,0.881
54,6,0,5,0,1,0,216.0,1,-0.1,93.2,-42.0,4.191
37,4,0,4,0,0,0,163.0,5,1.4,93.444,-36.1,4.965
45,3,0,3,0,1,0,162.0,2,-0.1,93.2,-42.0,4.12
29,3,1,4,0,1,0,57.0,6,1.1,93.994,-36.4,4.858
38,2,1,5,0,1,0,305.0,1,-0.1,93.2,-42.0,4.12
76,5,0,0,0,0,0,122.0,4,-1.8,93.749,-34.6,0.638
30,2,1,5,0,0,0,224.0,1,-1.8,93.075,-47.1,1.365
40,1,0,1,0,0,1,162.0,4,1.4,93.918,-42.7,4.96
54,2,0,5,0,1,0,324.0,3,1.4,93.918,-42.7,4.968
30,2,1,5,0,1,0,188.0,1,-1.8,92.893,-46.2,1.299
53,6,0,5,0,0,0,368.0,2,-1.8,92.893,-46.2,1.244
36,6,2,4,0,0,0,75.0,2,-0.1,93.2,-42.0,4.153
46,2,0,5,0,1,0,158.0,1,1.1,93.994,-36.4,4.857
31,2,1,5,0,1,0,76.0,1,1.4,94.465,-41.8,4.959
35,9,0,2,0,1,0,147.0,2,1.4,94.465,-41.8,4.961
39,2,0,5,0,1,0,644.5,2,-1.8,92.893,-46.2,1.25
28,10,1,3,0,1,0,320.0,1,-1.8,92.843,-50.0,1.799
60,4,2,4,0,0,0,72.0,1,1.4,94.465,-41.8,4.959
48,9,0,5,0,0,0,509.0,2,1.1,93.994,-36.4,4.864
38,2,1,5,0,1,0,170.0,2,1.4,94.465,-41.8,4.959
31,4,0,5,0,1,0,197.0,2,1.4,93.444,-36.1,4.964
36,4,0,4,0,0,0,322.0,2,-1.8,93.075,-47.1,1.405
43,1,1,1,0,0,0,644.5,4,1.4,93.918,-42.7,4.961
47,3,2,3,0,0,1,258.0,2,1.4,94.465,-41.8,4.864
80,5,2,1,0,1,0,169.0,1,-3.4,92.431,-26.9,0.722
36,1,0,1,0,0,1,140.0,2,1.1,93.994,-36.4,4.857
25,3,1,0,0,0,0,324.0,1,1.1,93.994,-36.4,4.855
58,4,0,0,0,0,1,644.5,2,-3.4,92.431,-26.9,0.74
38,4,1,4,0,0,0,474.0,2,1.1,93.994,-36.4,4.858
24,1,1,1,0,0,0,644.5,1,1.4,94.465,-41.8,4.961
31,1,1,1,0,1,0,59.0,2,1.4,93.918,-42.7,4.968
41,8,2,5,0,0,1,52.0,6,1.4,93.918,-42.7,4.968
39,9,1,2,0,0,0,644.5,2,1.4,94.465,-41.8,4.866
49,3,0,3,0,1,0,333.0,1,1.4,93.918,-42.7,4.959
57,0,0,0,0,0,1,221.0,1,1.1,93.994,-36.4,4.858
56,5,0,0,0,1,1,146.0,4,1.1,93.994,-36.4,4.857
38,3,1,0,0,1,0,203.0,2,-1.8,92.893,-46.2,1.334
43,2,0,1,0,0,0,193.0,2,1.4,94.465,-41.8,4.96
41,4,0,5,0,1,1,124.0,1,1.4,93.444,-36.1,4.968
45,7,0,5,0,1,0,211.0,3,1.4,93.444,-36.1,4.97
57,2,0,4,0,1,0,60.0,4,1.4,93.918,-42.7,4.961
44,4,2,4,0,1,0,173.0,1,1.4,94.465,-41.8,4.961
42,4,0,4,0,0,1,96.0,5,1.1,93.994,-36.4,4.857
26,3,0,5,0,0,0,63.0,4,1.4,93.918,-42.7,4.956
34,2,1,5,0,1,0,100.0,1,-1.7,94.055,-39.8,0.733
34,2,1,5,0,0,0,644.5,3,1.4,93.444,-36.1,4.963
42,1,0,1,0,1,0,274.0,1,-1.8,93.075,-47.1,1.405
21,10,1,3,0,0,0,5.0,1,-1.7,94.215,-40.3,0.884
29,1,1,5,0,0,0,265.0,1,-1.7,94.027,-38.3,0.904
49,0,0,4,0,1,0,351.0,2,1.4,93.918,-42.7,4.963
51,4,0,4,0,1,0,119.0,1,1.4,94.465,-41.8,4.967
30,10,1,5,0,0,0,69.0,1,-3.0,92.713,-33.0,0.717
40,7,2,1,0,0,1,257.0,1,1.4,94.465,-41.8,4.866
53,0,0,1,0,1,0,94.0,2,-2.9,92.963,-40.8,1.26
33,2,1,5,0,1,0,173.0,1,-2.9,92.201,-31.4,0.854
55,4,0,4,0,1,0,555.0,5,1.4,94.465,-41.8,4.865
40,3,0,2,0,0,0,120.0,1,1.1,93.994,-36.4,4.856
52,1,0,1,0,1,0,121.0,1,-1.8,92.893,-46.2,1.313
24,8,1,5,0,1,0,40.0,1,1.4,94.465,-41.8,4.959
37,1,0,1,0,0,0,201.0,1,1.4,94.465,-41.8,4.866
37,8,0,0,0,0,0,281.0,1,-1.8,92.893,-46.2,1.327
51,2,0,5,0,1,0,122.0,1,1.4,93.444,-36.1,4.964
30,4,0,3,0,1,0,161.0,1,1.4,93.918,-42.7,4.963
52,3,0,3,0,0,0,542.0,1,1.4,94.465,-41.8,4.864
45,2,0,5,0,0,0,363.0,1,-2.9,92.201,-31.4,0.879
41,3,1,2,0,0,0,211.0,1,-1.8,92.893,-46.2,1.313
34,1,2,4,0,0,0,466.0,2,1.4,94.465,-41.8,4.865
42,4,0,4,0,0,0,119.0,6,1.4,94.465,-41.8,4.865
46,4,2,0,0,1,0,262.0,2,-0.1,93.2,-42.0,4.153
48,2,0,5,0,1,0,198.0,4,1.4,93.918,-42.7,4.961
43,3,1,2,0,1,0,391.0,2,1.4,93.918,-42.7,4.958
34,2,1,5,0,0,1,543.0,1,-2.9,92.201,-31.4,0.859
36,6,2,5,0,0,0,190.0,3,-1.1,94.199,-37.5,0.881
48,4,0,1,0,1,0,215.0,2,-3.4,92.431,-26.9,0.722
48,2,1,5,0,0,0,644.5,1,-0.1,93.2,-42.0,4.12
44,2,0,1,0,0,0,93.0,6,1.4,93.444,-36.1,4.963
30,4,0,5,0,0,0,282.0,2,1.1,93.994,-36.4,4.855
38,1,0,1,0,1,1,506.0,1,1.1,93.994,-36.4,4.857
38,6,0,5,0,1,0,64.0,1,-0.1,93.2,-42.0,4.12
47,1,2,1,0,0,0,143.0,1,1.1,93.994,-36.4,4.858
29,2,1,5,0,1,0,130.0,1,1.4,93.918,-42.7,4.957
52,1,0,1,0,1,0,243.0,1,-1.8,92.893,-46.2,1.299
37,9,1,3,0,1,0,349.0,3,1.4,93.918,-42.7,4.962
34,0,0,1,0,0,0,361.0,5,-1.8,92.893,-46.2,1.334
35,4,0,1,0,0,0,243.0,1,1.4,93.444,-36.1,4.966
30,2,0,1,0,1,0,615.0,1,1.4,94.465,-41.8,4.864
50,3,0,0,0,1,0,153.0,1,1.1,93.994,-36.4,4.857
31,4,0,5,0,1,0,102.0,1,-0.1,93.2,-42.0,4.153
57,2,0,1,0,0,0,644.0,1,-1.8,92.893,-46.2,1.334
31,2,1,5,0,0,0,164.0,6,-1.8,93.075,-47.1,1.405
22,7,1,5,0,0,1,34.0,2,-1.1,94.601,-49.5,0.977
46,6,0,5,0,0,0,16.0,2,-1.8,92.893,-46.2,1.334
41,6,0,5,0,1,0,163.0,5,-1.8,92.893,-46.2,1.25
31,6,1,5,0,0,0,169.0,1,1.1,93.994,-36.4,4.856
36,2,1,5,0,0,0,173.0,3,1.4,93.444,-36.1,4.964
28,2,1,1,0,1,0,181.0,2,-1.8,92.843,-50.0,1.538
34,2,0,5,0,1,0,148.0,2,1.4,94.465,-41.8,4.864
48,2,1,5,0,1,1,80.0,2,1.4,93.918,-42.7,4.961
33,3,0,1,0,0,0,25.0,6,-1.8,92.893,-46.2,1.291
35,6,1,5,0,1,0,233.0,1,-1.8,92.893,-46.2,1.25
38,3,0,0,0,0,0,146.0,3,1.4,94.465,-41.8,4.962
58,3,2,5,0,1,0,215.0,1,1.4,94.465,-41.8,4.864
37,6,0,5,0,0,0,114.0,5,-0.1,93.2,-42.0,4.153
29,3,0,3,0,1,0,318.0,1,-1.8,92.893,-46.2,1.334
28,2,0,1,0,1,1,165.0,1,-1.8,92.893,-46.2,1.281
27,4,1,3,0,1,0,149.0,1,-1.8,93.075,-47.1,1.445
31,7,0,5,0,1,0,644.5,6,1.4,93.444,-36.1,4.964
40,3,0,5,0,0,0,117.0,3,1.4,93.918,-42.7,4.961
32,3,0,3,0,1,1,64.0,3,1.4,93.918,-42.7,4.962
37,1,0,3,0,1,0,211.0,1,-1.8,92.893,-46.2,1.281
63,0,0,0,0,1,0,299.0,1,-3.4,92.379,-29.8,0.749
39,3,0,1,0,1,0,67.0,1,1.1,93.994,-36.4,4.856
33,6,0,5,0,1,0,644.5,2,-0.1,93.2,-42.0,4.191
48,9,0,5,0,1,0,105.0,1,1.4,93.444,-36.1,4.965
30,3,0,3,0,1,0,175.0,1,-0.1,93.2,-42.0,4.12
50,3,0,3,0,1,0,36.0,1,1.4,93.444,-36.1,4.97
29,2,1,1,0,1,0,202.0,2,1.4,93.918,-42.7,4.962
30,10,1,5,0,0,0,585.0,4,-0.1,93.2,-42.0,4.021
36,8,0,5,0,1,0,79.0,3,-0.1,93.2,-42.0,4.153
26,2,0,1,0,0,0,125.0,2,1.4,93.918,-42.7,4.962
37,0,0,5,0,0,0,453.0,1,-1.1,94.601,-49.5,1.025
29,2,1,5,0,1,0,307.0,1,-2.9,92.201,-31.4,0.859
39,2,0,1,0,0,0,120.0,1,1.4,94.465,-41.8,4.958
49,6,0,5,0,1,0,336.0,4,1.4,93.918,-42.7,4.962
45,3,1,4,0,1,0,644.5,2,-1.8,92.893,-46.2,1.313
31,6,0,5,0,1,1,85.0,1,1.4,93.444,-36.1,4.963
31,2,1,5,0,0,0,138.0,1,-2.9,92.201,-31.4,0.884
31,1,1,5,0,0,1,409.0,2,1.4,93.918,-42.7,4.957
53,2,2,5,0,1,0,228.0,1,-1.8,93.369,-34.8,0.65
30,4,1,5,0,1,0,108.0,2,1.4,93.444,-36.1,4.968
38,3,0,1,0,0,0,471.0,5,1.1,93.994,-36.4,4.857
36,3,0,3,0,1,0,80.0,3,1.4,93.918,-42.7,4.962
33,2,1,1,0,0,0,170.0,1,-2.9,92.963,-40.8,1.26
57,1,0,1,0,0,0,149.0,1,1.1,93.994,-36.4,4.857
34,2,0,5,0,0,0,257.0,1,-1.8,92.893,-46.2,1.299
38,2,0,2,0,1,0,17.0,3,1.4,93.918,-42.7,4.968
36,2,0,1,0,1,0,114.0,6,-1.8,93.369,-34.8,0.655
34,2,0,5,0,0,0,198.0,2,1.4,94.465,-41.8,4.947
54,2,0,5,0,0,0,77.0,2,-2.9,92.963,-40.8,1.26
28,1,0,1,0,0,1,378.0,1,1.4,93.918,-42.7,4.962
48,9,0,5,0,0,0,619.0,1,-1.8,93.075,-47.1,1.365
36,2,1,5,0,0,0,121.0,1,-1.8,92.893,-46.2,1.266
50,3,0,2,0,0,0,137.0,1,1.4,93.444,-36.1,4.966
59,5,2,5,0,0,0,46.0,2,1.4,93.918,-42.7,4.961
49,3,0,3,0,0,1,644.5,3,1.1,93.994,-36.4,4.857
40,3,0,4,0,0,0,644.5,1,-2.9,92.963,-40.8,1.215
42,2,1,5,0,0,0,644.5,3,-1.7,94.027,-38.3,0.898
54,4,0,4,0,0,0,87.0,1,1.4,93.444,-36.1,4.963
66,5,2,1,0,0,0,211.0,1,-1.7,94.215,-40.3,0.896
37,9,0,4,0,0,0,284.0,1,-1.8,93.075,-47.1,1.41
55,1,0,1,0,0,1,371.0,1,1.4,93.918,-42.7,4.963
30,3,1,2,0,1,0,135.0,5,1.4,93.918,-42.7,4.961
30,4,1,1,0,1,0,276.0,2,1.4,93.444,-36.1,4.968
45,0,0,2,0,0,0,203.0,1,1.1,93.994,-36.4,4.86
38,2,0,5,0,0,0,65.0,4,1.4,93.444,-36.1,4.963
40,3,0,1,0,1,0,59.0,1,1.1,93.994,-36.4,4.857
26,4,1,1,0,1,1,644.5,6,1.4,93.918,-42.7,4.962
32,4,0,3,0,1,0,321.0,2,1.4,93.918,-42.7,4.963
24,10,1,1,0,0,0,199.0,1,1.4,93.918,-42.7,4.962
47,3,0,1,0,1,0,58.0,1,-1.8,92.893,-46.2,1.25
25,2,1,3,0,1,0,115.0,4,1.4,93.918,-42.7,4.968
31,7,1,1,0,1,1,45.0,1,1.4,93.918,-42.7,4.957
35,4,0,4,0,1,1,122.0,3,1.4,93.444,-36.1,4.968
32,4,1,5,0,1,0,112.0,2,1.4,93.918,-42.7,4.963
44,2,2,5,0,1,0,240.0,2,1.4,93.444,-36.1,4.963
33,4,1,4,0,0,0,194.0,5,1.4,93.918,-42.7,4.968
57,5,1,1,0,0,0,166.0,2,1.1,93.994,-36.4,4.857
46,3,2,3,0,0,0,426.0,3,-1.8,92.893,-46.2,1.281
43,7,0,0,0,0,0,275.0,4,1.1,93.994,-36.4,4.856
46,3,0,3,0,0,0,124.0,1,1.4,93.444,-36.1,4.968
29,9,0,4,0,1,0,125.0,1,1.4,93.918,-42.7,4.963
26,2,1,5,0,1,0,174.0,2,1.4,93.918,-42.7,4.957
28,3,0,2,0,1,0,312.0,2,1.1,93.994,-36.4,4.857
41,2,0,1,0,0,0,254.0,2,1.1,93.994,-36.4,4.859
33,3,0,0,0,0,0,420.0,2,1.4,94.465,-41.8,4.967
30,9,0,4,0,0,0,122.0,1,1.1,93.994,-36.4,4.858
45,3,0,2,0,0,0,272.0,2,1.4,94.465,-41.8,4.866
32,4,1,1,0,1,0,85.0,2,1.4,93.444,-36.1,4.963
41,4,0,1,0,1,0,145.0,6,1.4,94.465,-41.8,4.959
29,1,1,1,0,1,0,104.0,1,-0.1,93.2,-42.0,4.021
30,3,0,3,0,0,0,78.0,4,1.4,93.918,-42.7,4.962
59,2,0,5,0,1,0,191.0,2,1.1,93.994,-36.4,4.855
48,4,0,1,0,0,1,171.0,1,1.4,93.444,-36.1,4.963
53,6,0,0,0,1,0,63.0,1,-0.1,93.2,-42.0,4.12
33,4,1,3,0,0,0,105.0,2,-3.4,92.379,-29.8,0.741
34,2,1,1,0,0,1,129.0,1,1.4,94.465,-41.8,4.962
37,6,0,1,0,0,0,132.0,2,1.4,93.444,-36.1,4.964
29,3,1,5,0,0,0,198.0,1,1.1,93.994,-36.4,4.857
35,2,0,1,0,1,0,162.0,3,1.1,93.994,-36.4,4.857
42,4,0,4,0,0,0,88.0,2,1.4,93.444,-36.1,4.964
38,3,0,0,0,1,0,48.0,4,-1.8,92.893,-46.2,1.25
29,4,0,4,0,1,0,112.0,1,1.4,93.444,-36.1,4.966
52,8,0,0,0,0,0,60.0,1,1.4,94.465,-41.8,4.866
37,8,0,5,0,0,0,181.0,2,-1.7,94.055,-39.8,0.754
31,3,0,3,0,1,0,72.0,1,1.4,93.918,-42.7,4.962
41,3,0,1,0,1,0,239.0,1,-1.8,92.893,-46.2,1.25
32,2,2,3,0,0,0,177.0,1,1.4,93.918,-42.7,4.96
39,2,0,1,0,1,0,286.0,2,-1.8,93.075,-47.1,1.498
37,2,2,1,0,1,1,73.0,2,-1.8,92.893,-46.2,1.25
27,3,1,1,0,0,0,29.0,2,1.4,93.918,-42.7,4.961
29,7,0,1,0,0,0,237.0,1,1.4,94.465,-41.8,4.864
32,3,0,0,0,0,0,644.5,2,-1.1,94.199,-37.5,0.88
46,6,2,1,0,1,0,191.0,2,-0.1,93.2,-42.0,4.12
38,3,0,0,0,0,0,277.0,1,-1.8,93.075,-47.1,1.453
74,5,2,0,0,1,1,106.0,2,-1.7,94.215,-40.3,0.896
