age,job_n,education_n,duration,campaign,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,y
27.0,3.0,1.0,148.0,2.0,-2.9,92.963,-40.8,1.281,1
29.0,2.0,5.0,425.0,3.0,1.4,93.918,-42.7,4.962,0
45.0,2.0,1.0,48.0,5.0,1.4,94.465,-41.8,4.967,0
34.0,2.0,1.0,205.0,2.0,-1.8,92.893,-46.2,1.344,0
31.0,7.0,3.0,43.0,1.0,-1.8,92.893,-46.2,1.281,0
34.0,2.0,5.0,237.0,2.0,1.4,94.465,-41.8,4.961,0
32.0,4.0,4.0,322.0,2.0,-1.8,93.075,-47.1,1.405,0
40.0,3.0,5.0,22.0,6.0,1.4,94.465,-41.8,4.959,0
34.0,2.0,5.0,113.0,3.0,1.4,93.444,-36.1,4.964,0
34.0,2.0,1.0,188.0,2.0,1.1,93.994,-36.4,4.857,0
36.0,3.0,0.0,97.0,1.0,1.4,94.465,-41.8,4.961,0
59.0,3.0,0.0,69.0,6.0,1.4,94.465,-41.8,4.961,0
27.0,1.0,1.0,245.0,1.0,1.1,93.994,-36.4,4.857,0
40.0,6.0,5.0,367.0,2.0,-1.7,94.215,-40.3,0.896,1
41.0,4.0,5.0,187.0,1.0,-1.8,93.369,-34.8,0.635,1
35.0,3.0,3.0,414.0,2.0,-1.8,92.893,-46.2,1.313,0
53.0,4.0,4.0,103.0,1.0,-3.4,92.379,-29.8,0.77,0
30.0,3.0,3.0,99.0,1.0,-1.8,92.893,-46.2,1.281,0
37.0,2.0,5.0,283.0,3.0,-1.8,93.075,-47.1,1.423,0
42.0,6.0,5.0,266.0,2.0,-2.9,92.201,-31.4,0.879,0
26.0,3.0,3.0,207.0,1.0,1.4,93.918,-42.7,4.957,0
23.0,3.0,3.0,259.0,1.0,1.4,93.918,-42.7,4.962,0
48.0,0.0,4.0,388.0,3.0,-1.7,94.215,-40.3,0.896,1
74.0,5.0,4.0,204.0,3.0,-2.9,92.201,-31.4,0.873,1
56.0,4.0,4.0,124.0,3.0,1.1,93.994,-36.4,4.86,0
26.0,2.0,3.0,11.0,3.0,1.4,94.465,-41.8,4.959,0
51.0,4.0,2.0,166.0,2.0,1.4,93.918,-42.7,4.961,0
48.0,4.0,5.0,409.0,2.0,1.4,93.444,-36.1,4.968,0
35.0,4.0,4.0,192.0,1.0,1.4,93.444,-36.1,4.963,0
39.0,3.0,5.0,49.0,5.0,1.4,93.918,-42.7,4.961,0
44.0,7.0,3.0,189.0,1.0,1.4,93.918,-42.7,4.962,0
43.0,6.0,5.0,123.0,1.0,-2.9,92.201,-31.4,0.861,0
43.0,5.0,0.0,410.0,3.0,1.1,93.994,-36.4,4.857,0
37.0,3.0,4.0,128.0,2.0,1.1,93.994,-36.4,4.856,0
26.0,2.0,1.0,190.0,1.0,-1.8,93.075,-47.1,1.466,0
37.0,7.0,5.0,302.0,2.0,1.1,93.994,-36.4,4.857,0
49.0,2.0,5.0,132.0,1.0,-1.8,92.893,-46.2,1.266,0
30.0,3.0,3.0,12.0,6.0,1.4,94.465,-41.8,4.959,0
32.0,3.0,0.0,605.0,1.0,1.4,93.918,-42.7,4.961,0
39.0,3.0,5.0,173.0,6.0,-1.8,92.893,-46.2,1.281,0
31.0,4.0,5.0,60.0,1.0,1.4,93.444,-36.1,4.964,0
37.0,6.0,5.0,259.0,1.0,-0.1,93.2,-42.0,4.12,0
54.0,6.0,1.0,552.0,1.0,1.4,94.465,-41.8,4.967,0
35.0,3.0,4.0,241.0,1.0,1.1,93.994,-36.4,4.857,0
32.0,2.0,5.0,210.0,5.0,-2.9,92.469,-33.6,1.029,1
38.0,3.0,0.0,292.0,1.0,1.4,93.918,-42.7,4.955,0
42.0,1.0,5.0,122.0,1.0,-2.9,92.963,-40.8,1.099,0
38.0,2.0,5.0,517.0,1.0,-1.8,93.075,-47.1,1.405,0
47.0,3.0,4.0,330.0,4.0,1.4,93.918,-42.7,4.962,0
28.0,6.0,5.0,361.0,1.0,1.4,94.465,-41.8,4.864,0
60.0,0.0,0.0,149.0,1.0,-1.8,93.749,-34.6,0.635,1
45.0,3.0,3.0,644.5,3.0,1.4,94.465,-41.8,4.959,1
57.0,4.0,1.0,644.5,1.0,-1.8,92.893,-46.2,1.299,0
26.0,9.0,1.0,226.0,2.0,-1.8,92.893,-46.2,1.244,0
34.0,3.0,1.0,56.0,1.0,-1.8,92.893,-46.2,1.313,0
40.0,2.0,1.0,89.0,4.0,1.1,93.994,-36.4,4.855,0
45.0,3.0,2.0,561.0,2.0,1.4,93.444,-36.1,4.963,0
37.0,1.0,4.0,241.0,2.0,-1.8,92.893,-46.2,1.313,0
44.0,6.0,3.0,73.0,2.0,1.4,94.465,-41.8,4.96,0
28.0,2.0,1.0,185.0,3.0,1.4,94.465,-41.8,4.961,0
28.0,1.0,1.0,117.0,2.0,1.4,93.918,-42.7,4.963,0
19.0,10.0,5.0,438.0,1.0,-1.8,93.075,-47.1,1.405,1
50.0,6.0,3.0,115.0,1.0,-1.8,92.843,-50.0,1.548,1
44.0,2.0,5.0,49.0,1.0,1.1,93.994,-36.4,4.86,0
30.0,4.0,4.0,214.0,5.0,1.4,93.444,-36.1,4.964,0
31.0,10.0,5.0,224.0,1.0,-1.7,94.027,-38.3,0.899,0
29.0,4.0,4.0,226.0,2.0,-1.7,94.055,-39.8,0.704,1
30.0,4.0,5.0,63.0,3.0,-1.8,92.893,-46.2,1.327,0
27.0,4.0,4.0,347.0,2.0,-1.8,92.893,-46.2,1.327,1
33.0,1.0,1.0,172.0,1.0,1.4,93.918,-42.7,4.962,0
57.0,2.0,5.0,105.0,1.0,1.4,93.444,-36.1,4.968,0
40.0,3.0,3.0,74.0,1.0,-0.1,93.2,-42.0,4.021,0
24.0,9.0,1.0,113.0,1.0,1.4,94.465,-41.8,4.959,0
42.0,3.0,5.0,241.0,1.0,-1.8,93.075,-47.1,1.405,0
42.0,6.0,3.0,92.0,1.0,1.4,93.918,-42.7,4.968,0
27.0,2.0,1.0,185.0,1.0,1.4,93.918,-42.7,4.962,0
32.0,2.0,5.0,41.0,1.0,-0.1,93.2,-42.0,4.021,0
60.0,2.0,3.0,162.0,1.0,1.4,93.444,-36.1,4.962,0
39.0,4.0,5.0,88.0,6.0,1.4,93.444,-36.1,4.962,0
34.0,3.0,4.0,19.0,6.0,-1.8,92.893,-46.2,1.25,0
33.0,3.0,3.0,54.0,2.0,-1.8,92.893,-46.2,1.291,0
48.0,9.0,3.0,444.0,1.0,1.1,93.994,-36.4,4.856,0
35.0,8.0,5.0,609.0,1.0,1.4,93.918,-42.7,4.968,0
45.0,3.0,3.0,246.0,2.0,1.1,93.994,-36.4,4.856,0
33.0,2.0,5.0,644.5,3.0,-1.8,93.876,-40.0,0.699,1
41.0,6.0,5.0,644.5,3.0,1.4,93.918,-42.7,4.959,0
27.0,2.0,1.0,317.0,1.0,1.4,93.918,-42.7,4.962,0
31.0,2.0,5.0,7.0,6.0,-1.8,92.893,-46.2,1.334,0
36.0,7.0,5.0,138.0,2.0,-2.9,92.201,-31.4,0.873,0
41.0,0.0,1.0,644.5,1.0,-0.1,93.2,-42.0,4.021,1
49.0,3.0,0.0,151.0,1.0,1.4,94.465,-41.8,4.967,0
42.0,2.0,4.0,157.0,1.0,1.4,93.444,-36.1,4.964,0
36.0,2.0,5.0,107.0,1.0,-0.1,93.2,-42.0,4.076,0
39.0,4.0,4.0,20.0,6.0,-1.8,92.893,-46.2,1.327,0
33.0,2.0,4.0,122.0,1.0,1.4,94.465,-41.8,4.961,0
53.0,4.0,5.0,138.0,1.0,-0.1,93.2,-42.0,4.021,0
48.0,1.0,1.0,162.0,1.0,1.1,93.994,-36.4,4.856,0
33.0,3.0,3.0,31.0,4.0,-1.8,92.893,-46.2,1.291,0
44.0,3.0,0.0,34.0,2.0,1.4,94.465,-41.8,4.864,0
48.0,1.0,0.0,644.5,4.0,-1.8,92.893,-46.2,1.344,0
49.0,2.0,1.0,59.0,2.0,1.4,93.918,-42.7,4.963,0
36.0,4.0,4.0,238.0,1.0,1.1,93.994,-36.4,4.86,0
50.0,3.0,0.0,231.0,2.0,1.4,93.918,-42.7,4.961,0
35.0,9.0,5.0,272.0,4.0,-1.8,92.893,-46.2,1.281,0
33.0,7.0,5.0,187.0,2.0,-0.1,93.2,-42.0,4.076,0
31.0,4.0,5.0,168.0,1.0,1.4,93.444,-36.1,4.964,0
57.0,5.0,5.0,644.5,1.0,1.1,93.994,-36.4,4.856,0
43.0,3.0,1.0,107.0,2.0,-0.1,93.2,-42.0,4.191,0
37.0,4.0,5.0,481.0,2.0,-1.7,94.027,-38.3,0.899,1
33.0,2.0,5.0,366.0,3.0,1.4,93.918,-42.7,4.96,0
40.0,3.0,3.0,46.0,1.0,1.1,93.994,-36.4,4.857,0
55.0,9.0,3.0,622.0,1.0,-2.9,92.201,-31.4,0.825,1
35.0,2.0,3.0,556.0,4.0,1.4,94.465,-41.8,4.959,1
24.0,10.0,1.0,456.0,1.0,-2.9,92.201,-31.4,0.881,1
54.0,6.0,5.0,216.0,1.0,-0.1,93.2,-42.0,4.191,0
37.0,4.0,4.0,163.0,5.0,1.4,93.444,-36.1,4.965,0
45.0,3.0,3.0,162.0,2.0,-0.1,93.2,-42.0,4.12,0
29.0,3.0,4.0,57.0,6.0,1.1,93.994,-36.4,4.858,0
38.0,2.0,5.0,305.0,1.0,-0.1,93.2,-42.0,4.12,0
76.0,5.0,0.0,122.0,4.0,-1.8,93.749,-34.6,0.638,0
30.0,2.0,5.0,224.0,1.0,-1.8,93.075,-47.1,1.365,1
40.0,1.0,1.0,162.0,4.0,1.4,93.918,-42.7,4.96,0
54.0,2.0,5.0,324.0,3.0,1.4,93.918,-42.7,4.968,0
30.0,2.0,5.0,188.0,1.0,-1.8,92.893,-46.2,1.299,0
53.0,6.0,5.0,368.0,2.0,-1.8,92.893,-46.2,1.244,0
36.0,6.0,4.0,75.0,2.0,-0.1,93.2,-42.0,4.153,0
46.0,2.0,5.0,158.0,1.0,1.1,93.994,-36.4,4.857,0
31.0,2.0,5.0,76.0,1.0,1.4,94.465,-41.8,4.959,0
35.0,9.0,2.0,147.0,2.0,1.4,94.465,-41.8,4.961,0
39.0,2.0,5.0,644.5,2.0,-1.8,92.893,-46.2,1.25,0
28.0,10.0,3.0,320.0,1.0,-1.8,92.843,-50.0,1.799,1
60.0,4.0,4.0,72.0,1.0,1.4,94.465,-41.8,4.959,0
48.0,9.0,5.0,509.0,2.0,1.1,93.994,-36.4,4.864,0
38.0,2.0,5.0,170.0,2.0,1.4,94.465,-41.8,4.959,0
31.0,4.0,5.0,197.0,2.0,1.4,93.444,-36.1,4.964,0
36.0,4.0,4.0,322.0,2.0,-1.8,93.075,-47.1,1.405,0
43.0,1.0,1.0,644.5,4.0,1.4,93.918,-42.7,4.961,1
47.0,3.0,3.0,258.0,2.0,1.4,94.465,-41.8,4.864,0
80.0,5.0,1.0,169.0,1.0,-3.4,92.431,-26.9,0.722,1
36.0,1.0,1.0,140.0,2.0,1.1,93.994,-36.4,4.857,0
25.0,3.0,0.0,324.0,1.0,1.1,93.994,-36.4,4.855,0
58.0,4.0,0.0,644.5,2.0,-3.4,92.431,-26.9,0.74,0
38.0,4.0,4.0,474.0,2.0,1.1,93.994,-36.4,4.858,0
24.0,1.0,1.0,644.5,1.0,1.4,94.465,-41.8,4.961,1
31.0,1.0,1.0,59.0,2.0,1.4,93.918,-42.7,4.968,0
41.0,8.0,5.0,52.0,6.0,1.4,93.918,-42.7,4.968,0
39.0,9.0,2.0,644.5,2.0,1.4,94.465,-41.8,4.866,1
49.0,3.0,3.0,333.0,1.0,1.4,93.918,-42.7,4.959,0
57.0,0.0,0.0,221.0,1.0,1.1,93.994,-36.4,4.858,0
56.0,5.0,0.0,146.0,4.0,1.1,93.994,-36.4,4.857,0
38.0,3.0,0.0,203.0,2.0,-1.8,92.893,-46.2,1.334,0
43.0,2.0,1.0,193.0,2.0,1.4,94.465,-41.8,4.96,0
41.0,4.0,5.0,124.0,1.0,1.4,93.444,-36.1,4.968,0
45.0,7.0,5.0,211.0,3.0,1.4,93.444,-36.1,4.97,0
57.0,2.0,4.0,60.0,4.0,1.4,93.918,-42.7,4.961,0
44.0,4.0,4.0,173.0,1.0,1.4,94.465,-41.8,4.961,0
42.0,4.0,4.0,96.0,5.0,1.1,93.994,-36.4,4.857,0
26.0,3.0,5.0,63.0,4.0,1.4,93.918,-42.7,4.956,0
34.0,2.0,5.0,100.0,1.0,-1.7,94.055,-39.8,0.733,0
34.0,2.0,5.0,644.5,3.0,1.4,93.444,-36.1,4.963,0
42.0,1.0,1.0,274.0,1.0,-1.8,93.075,-47.1,1.405,0
21.0,10.0,3.0,5.0,1.0,-1.7,94.215,-40.3,0.884,0
29.0,1.0,5.0,265.0,1.0,-1.7,94.027,-38.3,0.904,1
49.0,0.0,4.0,351.0,2.0,1.4,93.918,-42.7,4.963,0
51.0,4.0,4.0,119.0,1.0,1.4,94.465,-41.8,4.967,0
30.0,10.0,5.0,69.0,1.0,-3.0,92.713,-33.0,0.717,0
40.0,7.0,1.0,257.0,1.0,1.4,94.465,-41.8,4.866,0
53.0,0.0,1.0,94.0,2.0,-2.9,92.963,-40.8,1.26,0
33.0,2.0,5.0,173.0,1.0,-2.9,92.201,-31.4,0.854,1
55.0,4.0,4.0,555.0,5.0,1.4,94.465,-41.8,4.865,1
40.0,3.0,2.0,120.0,1.0,1.1,93.994,-36.4,4.856,0
52.0,1.0,1.0,121.0,1.0,-1.8,92.893,-46.2,1.313,0
24.0,8.0,5.0,40.0,1.0,1.4,94.465,-41.8,4.959,0
37.0,1.0,1.0,201.0,1.0,1.4,94.465,-41.8,4.866,0
37.0,8.0,0.0,281.0,1.0,-1.8,92.893,-46.2,1.327,0
51.0,2.0,5.0,122.0,1.0,1.4,93.444,-36.1,4.964,0
30.0,4.0,3.0,161.0,1.0,1.4,93.918,-42.7,4.963,0
52.0,3.0,3.0,542.0,1.0,1.4,94.465,-41.8,4.864,0
45.0,2.0,5.0,363.0,1.0,-2.9,92.201,-31.4,0.879,0
41.0,3.0,2.0,211.0,1.0,-1.8,92.893,-46.2,1.313,0
34.0,1.0,4.0,466.0,2.0,1.4,94.465,-41.8,4.865,0
42.0,4.0,4.0,119.0,6.0,1.4,94.465,-41.8,4.865,0
46.0,4.0,0.0,262.0,2.0,-0.1,93.2,-42.0,4.153,0
48.0,2.0,5.0,198.0,4.0,1.4,93.918,-42.7,4.961,0
43.0,3.0,2.0,391.0,2.0,1.4,93.918,-42.7,4.958,0
34.0,2.0,5.0,543.0,1.0,-2.9,92.201,-31.4,0.859,0
36.0,6.0,5.0,190.0,3.0,-1.1,94.199,-37.5,0.881,1
48.0,4.0,1.0,215.0,2.0,-3.4,92.431,-26.9,0.722,1
48.0,2.0,5.0,644.5,1.0,-0.1,93.2,-42.0,4.12,0
44.0,2.0,1.0,93.0,6.0,1.4,93.444,-36.1,4.963,0
30.0,4.0,5.0,282.0,2.0,1.1,93.994,-36.4,4.855,0
38.0,1.0,1.0,506.0,1.0,1.1,93.994,-36.4,4.857,0
38.0,6.0,5.0,64.0,1.0,-0.1,93.2,-42.0,4.12,0
47.0,1.0,1.0,143.0,1.0,1.1,93.994,-36.4,4.858,0
29.0,2.0,5.0,130.0,1.0,1.4,93.918,-42.7,4.957,0
52.0,1.0,1.0,243.0,1.0,-1.8,92.893,-46.2,1.299,0
37.0,9.0,3.0,349.0,3.0,1.4,93.918,-42.7,4.962,0
34.0,0.0,1.0,361.0,5.0,-1.8,92.893,-46.2,1.334,0
35.0,4.0,1.0,243.0,1.0,1.4,93.444,-36.1,4.966,1
30.0,2.0,1.0,615.0,1.0,1.4,94.465,-41.8,4.864,0
50.0,3.0,0.0,153.0,1.0,1.1,93.994,-36.4,4.857,0
31.0,4.0,5.0,102.0,1.0,-0.1,93.2,-42.0,4.153,0
57.0,2.0,1.0,644.0,1.0,-1.8,92.893,-46.2,1.334,0
31.0,2.0,5.0,164.0,6.0,-1.8,93.075,-47.1,1.405,0
22.0,7.0,5.0,34.0,2.0,-1.1,94.601,-49.5,0.977,0
46.0,6.0,5.0,16.0,2.0,-1.8,92.893,-46.2,1.334,0
41.0,6.0,5.0,163.0,5.0,-1.8,92.893,-46.2,1.25,0
31.0,6.0,5.0,169.0,1.0,1.1,93.994,-36.4,4.856,0
36.0,2.0,5.0,173.0,3.0,1.4,93.444,-36.1,4.964,0
28.0,2.0,1.0,181.0,2.0,-1.8,92.843,-50.0,1.538,0
34.0,2.0,5.0,148.0,2.0,1.4,94.465,-41.8,4.864,0
48.0,2.0,5.0,80.0,2.0,1.4,93.918,-42.7,4.961,0
33.0,3.0,1.0,25.0,6.0,-1.8,92.893,-46.2,1.291,0
35.0,6.0,5.0,233.0,1.0,-1.8,92.893,-46.2,1.25,0
38.0,3.0,0.0,146.0,3.0,1.4,94.465,-41.8,4.962,0
58.0,3.0,5.0,215.0,1.0,1.4,94.465,-41.8,4.864,0
37.0,6.0,5.0,114.0,5.0,-0.1,93.2,-42.0,4.153,0
29.0,3.0,3.0,318.0,1.0,-1.8,92.893,-46.2,1.334,0
28.0,2.0,1.0,165.0,1.0,-1.8,92.893,-46.2,1.281,0
27.0,4.0,3.0,149.0,1.0,-1.8,93.075,-47.1,1.445,0
31.0,7.0,5.0,644.5,6.0,1.4,93.444,-36.1,4.964,1
40.0,3.0,5.0,117.0,3.0,1.4,93.918,-42.7,4.961,0
32.0,3.0,3.0,64.0,3.0,1.4,93.918,-42.7,4.962,0
37.0,1.0,3.0,211.0,1.0,-1.8,92.893,-46.2,1.281,0
63.0,0.0,0.0,299.0,1.0,-3.4,92.379,-29.8,0.749,1
39.0,3.0,1.0,67.0,1.0,1.1,93.994,-36.4,4.856,0
33.0,6.0,5.0,644.5,2.0,-0.1,93.2,-42.0,4.191,0
48.0,9.0,5.0,105.0,1.0,1.4,93.444,-36.1,4.965,0
30.0,3.0,3.0,175.0,1.0,-0.1,93.2,-42.0,4.12,0
50.0,3.0,3.0,36.0,1.0,1.4,93.444,-36.1,4.97,0
29.0,2.0,1.0,202.0,2.0,1.4,93.918,-42.7,4.962,0
30.0,10.0,5.0,585.0,4.0,-0.1,93.2,-42.0,4.021,0
36.0,8.0,5.0,79.0,3.0,-0.1,93.2,-42.0,4.153,0
26.0,2.0,1.0,125.0,2.0,1.4,93.918,-42.7,4.962,0
37.0,0.0,5.0,453.0,1.0,-1.1,94.601,-49.5,1.025,1
29.0,2.0,5.0,307.0,1.0,-2.9,92.201,-31.4,0.859,0
39.0,2.0,1.0,120.0,1.0,1.4,94.465,-41.8,4.958,0
49.0,6.0,5.0,336.0,4.0,1.4,93.918,-42.7,4.962,0
45.0,3.0,4.0,644.5,2.0,-1.8,92.893,-46.2,1.313,0
31.0,6.0,5.0,85.0,1.0,1.4,93.444,-36.1,4.963,0
31.0,2.0,5.0,138.0,1.0,-2.9,92.201,-31.4,0.884,0
31.0,1.0,5.0,409.0,2.0,1.4,93.918,-42.7,4.957,0
53.0,2.0,5.0,228.0,1.0,-1.8,93.369,-34.8,0.65,0
30.0,4.0,5.0,108.0,2.0,1.4,93.444,-36.1,4.968,0
38.0,3.0,1.0,471.0,5.0,1.1,93.994,-36.4,4.857,0
36.0,3.0,3.0,80.0,3.0,1.4,93.918,-42.7,4.962,0
33.0,2.0,1.0,170.0,1.0,-2.9,92.963,-40.8,1.26,0
57.0,1.0,1.0,149.0,1.0,1.1,93.994,-36.4,4.857,0
34.0,2.0,5.0,257.0,1.0,-1.8,92.893,-46.2,1.299,0
38.0,2.0,2.0,17.0,3.0,1.4,93.918,-42.7,4.968,0
36.0,2.0,1.0,114.0,6.0,-1.8,93.369,-34.8,0.655,0
34.0,2.0,5.0,198.0,2.0,1.4,94.465,-41.8,4.947,0
54.0,2.0,5.0,77.0,2.0,-2.9,92.963,-40.8,1.26,0
28.0,1.0,1.0,378.0,1.0,1.4,93.918,-42.7,4.962,0
48.0,9.0,5.0,619.0,1.0,-1.8,93.075,-47.1,1.365,1
36.0,2.0,5.0,121.0,1.0,-1.8,92.893,-46.2,1.266,0
50.0,3.0,2.0,137.0,1.0,1.4,93.444,-36.1,4.966,0
59.0,5.0,5.0,46.0,2.0,1.4,93.918,-42.7,4.961,0
49.0,3.0,3.0,644.5,3.0,1.1,93.994,-36.4,4.857,0
40.0,3.0,4.0,644.5,1.0,-2.9,92.963,-40.8,1.215,1
42.0,2.0,5.0,644.5,3.0,-1.7,94.027,-38.3,0.898,0
54.0,4.0,4.0,87.0,1.0,1.4,93.444,-36.1,4.963,0
66.0,5.0,1.0,211.0,1.0,-1.7,94.215,-40.3,0.896,0
37.0,9.0,4.0,284.0,1.0,-1.8,93.075,-47.1,1.41,0
55.0,1.0,1.0,371.0,1.0,1.4,93.918,-42.7,4.963,0
30.0,3.0,2.0,135.0,5.0,1.4,93.918,-42.7,4.961,0
30.0,4.0,1.0,276.0,2.0,1.4,93.444,-36.1,4.968,0
45.0,0.0,2.0,203.0,1.0,1.1,93.994,-36.4,4.86,0
38.0,2.0,5.0,65.0,4.0,1.4,93.444,-36.1,4.963,0
40.0,3.0,1.0,59.0,1.0,1.1,93.994,-36.4,4.857,0
26.0,4.0,1.0,644.5,6.0,1.4,93.918,-42.7,4.962,1
32.0,4.0,3.0,321.0,2.0,1.4,93.918,-42.7,4.963,0
24.0,10.0,1.0,199.0,1.0,1.4,93.918,-42.7,4.962,0
47.0,3.0,1.0,58.0,1.0,-1.8,92.893,-46.2,1.25,0
25.0,2.0,3.0,115.0,4.0,1.4,93.918,-42.7,4.968,0
31.0,7.0,1.0,45.0,1.0,1.4,93.918,-42.7,4.957,0
35.0,4.0,4.0,122.0,3.0,1.4,93.444,-36.1,4.968,0
32.0,4.0,5.0,112.0,2.0,1.4,93.918,-42.7,4.963,0
44.0,2.0,5.0,240.0,2.0,1.4,93.444,-36.1,4.963,0
33.0,4.0,4.0,194.0,5.0,1.4,93.918,-42.7,4.968,0
57.0,5.0,1.0,166.0,2.0,1.1,93.994,-36.4,4.857,0
46.0,3.0,3.0,426.0,3.0,-1.8,92.893,-46.2,1.281,0
43.0,7.0,0.0,275.0,4.0,1.1,93.994,-36.4,4.856,0
46.0,3.0,3.0,124.0,1.0,1.4,93.444,-36.1,4.968,0
29.0,9.0,4.0,125.0,1.0,1.4,93.918,-42.7,4.963,0
26.0,2.0,5.0,174.0,2.0,1.4,93.918,-42.7,4.957,0
28.0,3.0,2.0,312.0,2.0,1.1,93.994,-36.4,4.857,0
41.0,2.0,1.0,254.0,2.0,1.1,93.994,-36.4,4.859,0
33.0,3.0,0.0,420.0,2.0,1.4,94.465,-41.8,4.967,0
30.0,9.0,4.0,122.0,1.0,1.1,93.994,-36.4,4.858,0
45.0,3.0,2.0,272.0,2.0,1.4,94.465,-41.8,4.866,0
32.0,4.0,1.0,85.0,2.0,1.4,93.444,-36.1,4.963,0
41.0,4.0,1.0,145.0,6.0,1.4,94.465,-41.8,4.959,0
29.0,1.0,1.0,104.0,1.0,-0.1,93.2,-42.0,4.021,0
30.0,3.0,3.0,78.0,4.0,1.4,93.918,-42.7,4.962,0
59.0,2.0,5.0,191.0,2.0,1.1,93.994,-36.4,4.855,0
48.0,4.0,1.0,171.0,1.0,1.4,93.444,-36.1,4.963,0
53.0,6.0,0.0,63.0,1.0,-0.1,93.2,-42.0,4.12,0
33.0,4.0,3.0,105.0,2.0,-3.4,92.379,-29.8,0.741,0
34.0,2.0,1.0,129.0,1.0,1.4,94.465,-41.8,4.962,0
37.0,6.0,1.0,132.0,2.0,1.4,93.444,-36.1,4.964,0
